"n","K","mu_x","sigma_x_sq","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","cond_icc","p.val","sd.model","sd.model.approx","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","R","time"
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.949416654322418,0.157123874250745,0.15647267216083,0.0431494786095364,0.162484705019703,2.19676538367201,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00280432424019556,0.178876791366684,0.177616032593739,0.203292516549852,0.174550437408518,2.0449148146679,81.7145491919755,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.178928790234391,0.165387492181749,0.16412358915148,0.125987608794811,0.16234460219626,2.19866118450882,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,1.36398887150398e-06,0.190314310233602,0.189437402721617,0.0231217623148062,0.174901198789878,2.04081377276471,81.5619221727207,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.706560929025965,0.158077706252821,0.157823272041061,0.0123983461922707,0.162706734130694,2.19376768435859,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000123312823040009,0.180675293981838,0.179610054338616,0.0442385066057511,0.174713994001032,2.04300049005424,81.6434028347833,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.861297193425056,0.172530890774014,0.172178301065131,0.0106910724800577,0.162483935955655,2.19677578133544,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0266498800736794,0.179017173232133,0.177902242991845,0.118735543896779,0.174882419926553,2.04103291522013,81.5700979087303,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.665989461832058,0.164171936928191,0.161848039731502,0.15575863930231,0.16237259633181,2.19828212042647,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00909667815963887,0.176605066795698,0.174931188657472,0.12432539952511,0.174860117084512,2.04129324236314,81.5798072253944,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.143895438574129,0.173894908339539,0.172793529038883,0.0702739285704289,0.162524427408928,2.19622847503005,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00105851598700665,0.164499732242307,0.163477835407914,0.0707552041389032,0.174678142260461,2.04341980481571,81.6590015103616,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.314743524865633,0.159307211499719,0.15861730103152,0.0356970712413821,0.162650090675256,2.1945316715261,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000559130495594448,0.191484922580034,0.189926686367519,0.120968781711649,0.174906868244225,2.04074762155732,81.5594537694715,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.936670846725349,0.164729191438501,0.164729135091359,1.03705831657575e-15,0.162453357435446,2.19718927942305,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000486861723867787,0.186725829391413,0.185361675884247,0.0998391933420047,0.174915084132767,2.04065176615935,81.5558766026622,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.842465248881171,0.162341536574088,0.161358576603108,0.0605412267652095,0.162397017838256,2.19795153947314,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,6.44399277617828e-06,0.173482164011307,0.171364758574175,0.109968988273294,0.174704082548397,2.04311639520251,81.6477153788657,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.150928090803145,0.169589209075744,0.169589167519673,4e-14,0.162174196001018,2.20097145023739,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0317023095102386,0.175215996677429,0.174211815442568,0.0971927188198716,0.174842047384058,2.04150420739118,81.5876731675246,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.302732854423981,0.175557351836381,0.174708280245411,0.061576178854522,0.162790249962155,2.19264222179413,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,2.16255293178635e-06,0.170861515989799,0.170861645801752,0,0.174728659539557,2.04282901445045,81.6370214932256,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.815191314227283,0.172090836290061,0.170145165451945,0.162525404632576,0.162308059599291,2.19915619867962,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0003970569317015,0.169190390688253,0.168154116383758,0.08337349617209,0.174834370337018,2.04159385065642,81.5910149308063,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.818178275778481,0.159485441990175,0.158724059455965,0.0354690523947521,0.162667535804331,2.19429632101145,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.129325914557664,0.165890542406682,0.164949927033366,0.00223991829060687,0.174663024374942,2.04359667216806,81.6655785675869,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.180565088516749,0.172306239219764,0.171035913453453,0.131064228815782,0.162374803804211,2.1982522349578,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00818463209523835,0.172920445641503,0.170890068434265,0.123360632140771,0.174818621836484,2.04177776722954,81.5978698762532,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.521070453772027,0.167743509632442,0.166264138153374,0.151458029897636,0.162662274620052,2.19436729381282,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000629284277758142,0.174594410286461,0.173608771489773,0.0333540788578904,0.175031338558005,2.03929638146001,81.505249668937,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.98975569226486,0.163512721334173,0.161561058507123,0.135785639089949,0.162522432064933,2.19625543888509,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0575106634402672,0.163634359385602,0.163634195940611,2.5e-15,0.174870390073448,2.04117332393164,81.575335071441,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.860230672249818,0.166234234118465,0.164915545612943,0.127388025413503,0.162884775280636,2.19136978731416,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,1.95210258306976e-05,0.192500614067494,0.190373859345323,0.266803851320011,0.17464397215618,2.04381961173122,81.6738667884861,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.313165447512488,0.168495231631651,0.167341968656547,0.0899596462041238,0.162304654679113,2.19920233384026,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000259934343616237,0.197579031343854,0.19639619277357,0.196124182826633,0.174778476969069,2.04224674315368,81.6153423706338,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.216672968860834,0.167286812309203,0.166715067558236,0.00181723885831808,0.162672254216931,2.1942326740456,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000458533895881023,0.179674952282664,0.178583612005378,0.0915893805893919,0.174832905575941,2.04161095525808,81.5916525211971,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.518881941524529,0.163993445385704,0.162810998079436,0.104077763087547,0.162739506575441,2.19332590392226,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00309412044524108,0.173647019293384,0.172470060122839,0.118218720236641,0.174732424327315,2.04278499962209,81.6353832900598,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.865831076811748,0.17140166115181,0.169417750865595,0.145321822750014,0.162470370425455,2.1969592020301,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0949468841842922,0.162251760428067,0.162040661264666,0.0168499404036757,0.174751918544957,2.04255711946084,81.6269002831862,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.565323775404228,0.170234283418779,0.168544475696548,0.152441682080773,0.162566474493913,2.1956604304463,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0630369739132484,0.174099950354896,0.172903563504238,0.140351321132317,0.174834819345544,2.04158860746144,81.5908194829445,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.21707770093823,0.162016792140448,0.162016888194286,4.38114048746906e-14,0.162687808272816,2.19402289054676,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00102189194245875,0.167149385483263,0.167149263133775,0,0.174736370680039,2.04273886412027,81.6336660590682,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.919532785913264,0.165266277758549,0.164303670745772,0.0624676669776092,0.162454018009836,2.19718034515976,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.108418375602025,0.178583190527586,0.177900063634768,0.0463936482360159,0.17465039176963,2.04374448718248,81.6710741452706,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.278394308806466,0.166958102239288,0.165057386900382,0.208394052917931,0.162649382859026,2.19454122167076,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0403582773626984,0.17584529262659,0.175051651952312,0.0764085117278836,0.174683300168856,2.0433594683545,81.6567574791486,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.358957740292945,0.167533173142475,0.165405543590526,0.31509520226561,0.162770669721679,2.19290598222501,5.00000000000001,1000,1.20068916877111
20,32,0,1,0,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000306423008376234,0.176036397723815,0.175209737125854,0.0527152217031684,0.174805413160542,2.04193204838357,81.6036190233712,1000,1.20068916877111
