"n","K","mu_x","sigma_x_sq","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","cond_icc","p.val","sd.model","sd.model.approx","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","R","time"
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.662841767902437,0.147299511833376,0.146882074502214,0.0196868849207551,0.160867312949745,2.21885210126528,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.116735913103624,0.169443830431983,0.168653756361379,0.0201363258548,0.170284861776122,2.09613920838555,83.5540677647933,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.720061945435865,0.161058183571213,0.157827117894013,0.116476907990533,0.161182924238771,2.214507380662,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000159677172118091,0.170691892102118,0.169338706496441,0.13047138746231,0.170531682162401,2.09310534463338,83.448579931872,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.0753707391510984,0.165855832447616,0.162544414203786,0.0565132571030291,0.160499885733586,2.22393164787624,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,2.30714936916387e-05,0.162789421531777,0.162319511169781,0.0486145412741756,0.170918039866351,2.08837391092568,83.2831959196404,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.357584898447118,0.169039457702488,0.167404239988893,0.0671291497385583,0.160206062912493,2.2280104065625,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0167032311207101,0.183005015614734,0.17859850322461,0.0882942783027776,0.170943561108687,2.08806212441366,83.2722603494819,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.857893974554915,0.144505528214938,0.143906408881026,0.0349922055064899,0.159260190036255,2.24124293260096,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0523441984243376,0.171673138418644,0.170542713724651,0.152179691800848,0.171161716760734,2.08540076670537,83.178728558054,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.364102579772966,0.172384791403958,0.171085221042441,0.0666521158244821,0.159709687620289,2.23493502918916,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00490104491295848,0.186081208607015,0.181202363483476,0.0686563369559057,0.17080400958451,2.08976812799488,83.3320401579421,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.195352579548904,0.170070625015614,0.167871120766772,0.106134403798494,0.160480080238325,2.22420611226862,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00754973406203519,0.173401517584662,0.17213802793173,0.119935858293648,0.170177222700595,2.09746504085,83.6000299978272,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.960033261765837,0.164472356669947,0.163233317989309,0.0888589611457812,0.161518649126378,2.20990441224009,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000559513533232857,0.163935743800801,0.1618592885707,0.0406127537948704,0.171576477344631,2.08035962089655,83.0006402948807,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.419440399003018,0.154969053344827,0.151383857505599,0.147836768253009,0.160484331113121,2.22414719797065,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,3.23292487152868e-06,0.164409597201302,0.16440968819218,1.49382716049379e-14,0.170887048517277,2.08875264954532,83.2964735607275,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.796410349244819,0.147168871486304,0.147169109184115,0,0.16060173799302,2.22252124929654,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0021289246739832,0.172143901406867,0.168411099916361,0.13740842889403,0.172498752534307,2.06923685023434,82.6034492732705,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.716394340931857,0.148778232835272,0.148777969352859,0,0.160765555540998,2.22025653543937,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00438367764395442,0.189506320759314,0.186064307918361,0.244440422263836,0.171152171380573,2.08551707223013,83.1828230614608,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.119758677634684,0.144855358369154,0.143929837072444,0.0401375684394291,0.160292856153793,2.22680401315561,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00457444626288138,0.183940692472277,0.181831702729383,0.210876992035288,0.170453552871158,2.09406474286427,83.4819855451297,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.587036331389736,0.166981927252271,0.165872963943007,0.0976389646191925,0.160597864575092,2.22257485370576,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00938038594523175,0.171335307289755,0.169995440500847,0.041933884100658,0.170856082586494,2.08913121476225,83.3097383250924,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.995909389652953,0.159145649361075,0.156073088658493,0.133167622975214,0.161150425829278,2.21495396941479,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00177510341990165,0.162994687780136,0.161410724526831,0.0406897509399272,0.171378730959574,2.0827600564252,83.0855905427686,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.914774841766241,0.155660134264556,0.154304666856435,0.0748985833935489,0.161835745027892,2.20557439459326,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,1.9513205299248e-08,0.17548289272033,0.174654288449077,0.164087881986385,0.170850639267955,2.08919777469272,83.3120698542645,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.886116535870448,0.156535275554888,0.15563083229434,0.0832689071961558,0.160805305425613,2.21970770441127,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00999989985822183,0.163652181709982,0.163078854178452,0.0519342642922719,0.170469143928648,2.09387322032217,83.4753203451648,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.134219881810191,0.15967316798317,0.159673290939855,6.03815107020055e-16,0.161311283350085,2.21274524602716,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000231966546168664,0.168271559822187,0.168027847913032,0.00793370938696062,0.171314617328691,2.08353951886429,83.1131166125109,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.597236981021528,0.154221525410539,0.15294494446642,0.0699916686807301,0.161373781234124,2.21188827970503,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000210652645940101,0.160582447363205,0.155644425247915,0.0543359148943484,0.171368686277304,2.08288213627227,83.0899035930386,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.744982444439211,0.143343779115,0.141794510835334,0.0034124855203527,0.160817204294295,2.21954346818666,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,7.63768382955999e-06,0.176722801965066,0.174894596655367,0.0705926310157574,0.171695773882672,2.07891415899006,82.9493544099696,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.738197035349534,0.14902411383153,0.148787247716359,0.0112509875494193,0.161089743484853,2.21578834034834,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00302980760520269,0.176275222677913,0.174789033903996,0.0276752943740449,0.171355207303734,2.08304597788353,83.0956909658811,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.0148740880843879,0.167589570726117,0.166070011516959,0.106776086604401,0.161438469745421,2.21100197447558,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.311689588933015,0.137000476658751,0.137000406246453,0,0.170839709084391,2.08933143984178,83.3167513789106,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.327448057180531,0.169859742206615,0.167989019881858,0.149156954192406,0.159948169088009,2.23160275856012,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000903469568522853,0.169283889271612,0.169283983152718,0,0.171009407101867,2.08725813048881,83.2440398750435,200,0.402899169921875
