"n","K","p_x","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","icc_yx","p.val","sd.model","p.val.null","sd.model.null","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","K_linear","time"
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.031385924370305,0.089189555052641,0.220959451186215,0.0895413779686355,0.178562977765504,0.08921002305557,2.36383745140696,80.022218547895,360,3.49959996143977
50,218,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00013692457819609,0.0890788162740787,0.48857733515539,0.0883036275415042,0.150876831123811,0.0892044977003447,3.03804646402014,80.0270744575297,220,3.49959996143977
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000118774158930527,0.0898778112468762,0.20047408063935,0.0876079785259147,0.166228375063731,0.0884676920944624,4.30940941241598,80.6735587694377,112,3.49959996143977
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00764477157188008,0.0900400503601192,0.544107534766799,0.0896253474544092,0.202895625031465,0.0887956685747399,6.0494875337972,80.3860557126437,56,3.49959996143977
30,390,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00777413455311849,0.0899225370599838,0.655456028336793,0.0887532692123098,0.158748150151267,0.0892161793346311,2.27078814226792,80.0168080287023,392,3.49959996143977
50,242,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0111418980513106,0.0889877143810854,0.438220729640408,0.0890322606477639,0.13683650543255,0.0891582508820495,2.88645904633153,80.0677137864735,244,3.49959996143977
100,126,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00349880865316915,0.0911630303681035,0.355045146378503,0.087885084116657,0.163092189314609,0.0890675221738953,4.00841011157528,80.1474189653236,128,3.49959996143977
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.46713045838701,0.0892372626821048,0.420364558494938,0.088678236488055,0.177530105904986,0.0882270262117307,5.64444067383121,80.8842252874212,64,3.49959996143977
30,454,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.027797015859875,0.0896523972107241,0.921984360045316,0.0899445302175114,0.170091824519644,0.0891497686562353,2.1077922106359,80.0751666959252,456,3.49959996143977
50,296,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00206163933875674,0.0882929770384033,0.233478047838225,0.0879887663141884,0.147042452583632,0.0891543096244034,2.61015095198435,80.0711768056772,300,3.49959996143977
100,166,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,3.12672686749511e-05,0.088968390110412,0.82326306091032,0.0898536907972778,0.144251579892695,0.0887129468245068,3.52020623105943,80.4586118869668,166,3.49959996143977
200,90,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,2.41137428759844e-05,0.0902936547767269,0.893713021834222,0.0883349926482261,0.166212320166345,0.0886531610271339,4.78725384959148,80.5110331138203,90,3.49959996143977
30,686,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0168313634056594,0.0856485256736597,0.322648517198994,0.0862085176264181,0.142467324140863,0.0891381345129792,1.71516941228779,80.0853886143312,684,3.49959996143977
50,550,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00636794096964407,0.0885650445875242,0.315355303371638,0.088098930656943,0.165740495419576,0.0892247209879511,1.91180864379953,80.0093008724534,550,3.49959996143977
100,450,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.19306034717594,0.0898290251732632,0.762912900945167,0.0899740754331944,0.174294442995642,0.0891253376489722,2.1183003085062,80.0966315468674,448,3.49959996143977
200,400,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00494113699889202,0.0911691149360989,0.788638220329288,0.0916697301217864,0.185202948639218,0.0890569472686628,2.25024890373611,80.1567070461779,400,3.49959996143977
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000159169020636063,0.0896297311893204,0.168084816511759,0.0890310411843287,0.202858175089425,0.08921002305557,2.36383745140696,80.022218547895,360,3.49959996143977
50,218,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0181887425079648,0.0901798500462194,0.10141272064902,0.0894686722255129,0.177603782829753,0.0892044977003447,3.03804646402014,80.0270744575297,220,3.49959996143977
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00720855209436033,0.0874305946380615,0.471790681907615,0.088012085474517,0.170982183336722,0.0884676920944624,4.30940941241598,80.6735587694377,112,3.49959996143977
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,9.0753513259975e-05,0.0882083097777819,0.779231187458175,0.0881815408593789,0.163570987337685,0.0887956685747399,6.0494875337972,80.3860557126437,56,3.49959996143977
30,390,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0374675421362826,0.0884963863731672,0.271735470545793,0.0894598806310329,0.125224945080488,0.0892161793346311,2.27078814226792,80.0168080287023,392,3.49959996143977
50,242,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.009228560170016,0.0911154124073268,0.333876480798492,0.0887327155753031,0.204419414686906,0.0891582508820495,2.88645904633153,80.0677137864735,244,3.49959996143977
100,126,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00623409046498169,0.0902817503005962,0.797309096068516,0.0890928729569914,0.173767134889596,0.0890675221738953,4.00841011157528,80.1474189653236,128,3.49959996143977
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000894936927387052,0.0882477842347214,0.823983976094498,0.0871691032802032,0.125939692223017,0.0882270262117307,5.64444067383121,80.8842252874212,64,3.49959996143977
30,454,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0448296843070731,0.0905042974058873,0.920943563794551,0.0889634286894626,0.162246484575346,0.0891497686562353,2.1077922106359,80.0751666959252,456,3.49959996143977
50,296,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.224286794156693,0.0888620814075898,0.284756976597631,0.0890929485601212,0.164986956766679,0.0891543096244034,2.61015095198435,80.0711768056772,300,3.49959996143977
100,166,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00556953351727896,0.0900332392814373,0.660597394908583,0.0898307174575915,0.194415230182642,0.0887129468245068,3.52020623105943,80.4586118869668,166,3.49959996143977
200,90,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0531768103324585,0.0889055296199451,0.592993412671489,0.0849023377530491,0.132800735052382,0.0886531610271339,4.78725384959148,80.5110331138203,90,3.49959996143977
30,686,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0263500305246996,0.0898917449541009,0.450715561631758,0.0894101810211251,0.172720479321463,0.0891381345129792,1.71516941228779,80.0853886143312,684,3.49959996143977
50,550,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.445297275857562,0.0867554531838152,0.92301110060489,0.0877051120375866,0.155976618594102,0.0892247209879511,1.91180864379953,80.0093008724534,550,3.49959996143977
100,450,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00425556870195354,0.0899773918480196,0.728121322416162,0.0892778261048635,0.176506342610519,0.0891253376489722,2.1183003085062,80.0966315468674,448,3.49959996143977
200,400,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,3.5539437761614e-05,0.0881869368627911,0.176180217157507,0.0841474638546877,0.165748366830388,0.0890569472686628,2.25024890373611,80.1567070461779,400,3.49959996143977
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,6.30241101289423e-05,0.0901048443095087,0.391755352539331,0.0887056843661587,0.185953280495051,0.08921002305557,2.36383745140696,80.022218547895,360,3.49959996143977
50,218,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0269901469337116,0.088895797040695,0.430193924993275,0.0879448592313597,0.136273100731344,0.0892044977003447,3.03804646402014,80.0270744575297,220,3.49959996143977
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000393642082829482,0.0887878580184095,0.316181534171624,0.0874760227137096,0.141083212900312,0.0884676920944624,4.30940941241598,80.6735587694377,112,3.49959996143977
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00317686575499546,0.0908293019238939,0.545972894337662,0.0874717754307784,0.19888573362013,0.0887956685747399,6.0494875337972,80.3860557126437,56,3.49959996143977
30,390,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.104406608269443,0.089441172478533,0.400799733503576,0.08829952626856,0.183058048519272,0.0892161793346311,2.27078814226792,80.0168080287023,392,3.49959996143977
50,242,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.117948670290465,0.0892211878157703,0.934778385385423,0.0905640742461369,0.159251668238672,0.0891582508820495,2.88645904633153,80.0677137864735,244,3.49959996143977
100,126,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00284553517187507,0.091832803171543,0.256798824504573,0.0887148427710072,0.248296588941861,0.0890675221738953,4.00841011157528,80.1474189653236,128,3.49959996143977
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00236553658407813,0.0897636052894385,0.324430083063405,0.0876884859980888,0.198261750704504,0.0882270262117307,5.64444067383121,80.8842252874212,64,3.49959996143977
30,454,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,6.86762677676331e-06,0.0910463327048246,0.332071098752646,0.0898984832968694,0.189239496798892,0.0891497686562353,2.1077922106359,80.0751666959252,456,3.49959996143977
50,296,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0549830739125533,0.0912768340795954,0.173222615772511,0.0895708323854736,0.204079224149999,0.0891543096244034,2.61015095198435,80.0711768056772,300,3.49959996143977
100,166,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000406348450436868,0.0891250035874379,0.0796662114479528,0.087788780001758,0.154251544069091,0.0887129468245068,3.52020623105943,80.4586118869668,166,3.49959996143977
200,90,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000139306500978725,0.0908019873197959,0.856611496966245,0.0892609288924059,0.189446075883628,0.0886531610271339,4.78725384959148,80.5110331138203,90,3.49959996143977
30,686,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000505715874353309,0.0852991097381658,0.833739703588724,0.0852067923168421,0.140795898766335,0.0891381345129792,1.71516941228779,80.0853886143312,684,3.49959996143977
50,550,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00610869877961359,0.0903477808713939,0.837136258652712,0.0874059197699695,0.177688193790694,0.0892247209879511,1.91180864379953,80.0093008724534,550,3.49959996143977
100,450,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,7.52364529396055e-05,0.0871018773861423,0.351499360389653,0.0914500655294471,0.161552503878153,0.0891253376489722,2.1183003085062,80.0966315468674,448,3.49959996143977
200,400,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0193950390053776,0.0842481931098265,0.304674255479759,0.0908676752194798,0.154236175802882,0.0890569472686628,2.25024890373611,80.1567070461779,400,3.49959996143977
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00154623499067503,0.0899983470710514,0.263053099965207,0.0889687369202807,0.147423161803015,0.08921002305557,2.36383745140696,80.022218547895,360,3.49959996143977
50,218,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00246474260935905,0.0893321421567283,0.395753240601359,0.0881581736407954,0.13006324310271,0.0892044977003447,3.03804646402014,80.0270744575297,220,3.49959996143977
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000267395049352284,0.0907174148558048,0.697189572328785,0.0871974256008053,0.217553530005392,0.0884676920944624,4.30940941241598,80.6735587694377,112,3.49959996143977
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.13848018009004,0.0904738564171754,0.010054424392399,0.0885423936499782,0.15683312997477,0.0887956685747399,6.0494875337972,80.3860557126437,56,3.49959996143977
30,390,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,5.61706465870811e-09,0.0900415833622451,0.216627557310466,0.089228771222967,0.169792987653999,0.0892161793346311,2.27078814226792,80.0168080287023,392,3.49959996143977
50,242,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000310943766398119,0.0907682585912036,0.89884530614863,0.0896706199681011,0.188226821010334,0.0891582508820495,2.88645904633153,80.0677137864735,244,3.49959996143977
100,126,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,1.59535583317175e-07,0.0916663714668887,0.495820726689041,0.0882411808449441,0.207964840040914,0.0890675221738953,4.00841011157528,80.1474189653236,128,3.49959996143977
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00430396272584933,0.0890502323550959,0.538334978583844,0.0862986369423592,0.158408608192479,0.0882270262117307,5.64444067383121,80.8842252874212,64,3.49959996143977
30,454,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0061909018718104,0.0923961176592725,0.792777282349443,0.089030154267189,0.207655077335981,0.0891497686562353,2.1077922106359,80.0751666959252,456,3.49959996143977
50,296,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,6.43243754486249e-06,0.0888404983176577,0.017787018529443,0.0877686764388318,0.145944677370052,0.0891543096244034,2.61015095198435,80.0711768056772,300,3.49959996143977
100,166,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000293507100963609,0.0903043330422794,0.72579013299288,0.0883909551294738,0.18595703718685,0.0887129468245068,3.52020623105943,80.4586118869668,166,3.49959996143977
200,90,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.360278114133809,0.0882159907662993,0.892487338430581,0.0885561687803766,0.164744223813963,0.0886531610271339,4.78725384959148,80.5110331138203,90,3.49959996143977
30,686,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0628989774090079,0.0955179040586263,0.629278728393018,0.0907693080013218,0.218008722916697,0.0891381345129792,1.71516941228779,80.0853886143312,684,3.49959996143977
50,550,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0291743006879104,0.0843013993978235,0.831275090390484,0.093401839818085,0.144164397243702,0.0892247209879511,1.91180864379953,80.0093008724534,550,3.49959996143977
100,450,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0477094753904519,0.0872510033175859,0.138604265397386,0.0865051665847082,0.16083112940308,0.0891253376489722,2.1183003085062,80.0966315468674,448,3.49959996143977
200,400,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000204218633965102,0.0842786449435777,0.0307747208090211,0.0855574980291221,0.150756113132786,0.0890569472686628,2.25024890373611,80.1567070461779,400,3.49959996143977
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00368433831601971,0.0901211434112897,0.0125142592693686,0.0895568987121475,0.179499629428498,0.08921002305557,2.36383745140696,80.022218547895,360,3.49959996143977
50,218,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0111613533756596,0.0898097988242589,0.957839638424016,0.0897177646020979,0.20499079668312,0.0892044977003447,3.03804646402014,80.0270744575297,220,3.49959996143977
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00209609362778855,0.0894565911135727,0.511699593142616,0.0901509869459564,0.150721358542474,0.0884676920944624,4.30940941241598,80.6735587694377,112,3.49959996143977
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.059115243340268,0.0891862096021471,0.680188231730585,0.0886765529065807,0.166236955399786,0.0887956685747399,6.0494875337972,80.3860557126437,56,3.49959996143977
30,390,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.000159983159136616,0.0890736363968199,0.803131146577794,0.0874336582479174,0.131288814041415,0.0892161793346311,2.27078814226792,80.0168080287023,392,3.49959996143977
50,242,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00175510253460346,0.091092669848131,0.637523719174517,0.0886812123878372,0.19034898520881,0.0891582508820495,2.88645904633153,80.0677137864735,244,3.49959996143977
100,126,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0739230667000828,0.0904388030884604,0.567357112472968,0.0887265923522218,0.147317431459343,0.0890675221738953,4.00841011157528,80.1474189653236,128,3.49959996143977
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00991889145998193,0.0894418932122666,0.235909953036547,0.0871283920265299,0.168691880773606,0.0882270262117307,5.64444067383121,80.8842252874212,64,3.49959996143977
30,454,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.047982965044137,0.0900782452598638,0.00412412401192919,0.0879455835223991,0.177517693210971,0.0891497686562353,2.1077922106359,80.0751666959252,456,3.49959996143977
50,296,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0140180908716921,0.0883118857444396,0.696189758362875,0.0886388682633068,0.141607579017112,0.0891543096244034,2.61015095198435,80.0711768056772,300,3.49959996143977
100,166,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.923110847104108,0.0885102468129145,0.736984359462076,0.0890667779722957,0.145113510792414,0.0887129468245068,3.52020623105943,80.4586118869668,166,3.49959996143977
200,90,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,2.39061871926227e-06,0.0878733342018117,0.706012469407263,0.0860152095710159,0.112188912518852,0.0886531610271339,4.78725384959148,80.5110331138203,90,3.49959996143977
30,686,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.010206279104733,0.0911351594111451,0.163461852776801,0.0914163709410362,0.183734754828663,0.0891381345129792,1.71516941228779,80.0853886143312,684,3.49959996143977
50,550,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00424171490762429,0.0919105058853905,0.2999720120883,0.0914726908703245,0.185521955407372,0.0892247209879511,1.91180864379953,80.0093008724534,550,3.49959996143977
100,450,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00569716563989013,0.0863723289784252,0.926249961171912,0.0889026182035071,0.158275502155096,0.0891253376489722,2.1183003085062,80.0966315468674,448,3.49959996143977
200,400,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.599866133805333,0.0910767015641861,0.740719517407117,0.0902085313219482,0.182797830151293,0.0890569472686628,2.25024890373611,80.1567070461779,400,3.49959996143977
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.295452452500066,0.0906581307685754,0.314097689251177,0.0873860174154723,0.203879526100403,0.08921002305557,2.36383745140696,80.022218547895,360,3.49959996143977
50,218,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0157595568451419,0.0889261215131291,0.813004426196295,0.0889980671305817,0.147479674900496,0.0892044977003447,3.03804646402014,80.0270744575297,220,3.49959996143977
100,112,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,1.19178034369696e-05,0.0894861415586066,0.300526104508861,0.0878017421189738,0.185593495406001,0.0884676920944624,4.30940941241598,80.6735587694377,112,3.49959996143977
200,56,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.28616706359865,0.0886173263278385,0.658853162507803,0.0879170962767129,0.0945327267638451,0.0887956685747399,6.0494875337972,80.3860557126437,56,3.49959996143977
30,390,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0657872775438002,0.0903849607856048,0.381905683262505,0.0898183937921292,0.194619428342001,0.0892161793346311,2.27078814226792,80.0168080287023,392,3.49959996143977
50,242,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0358826612938024,0.0895769318086808,0.95410517925275,0.0897981499027864,0.174108317211666,0.0891582508820495,2.88645904633153,80.0677137864735,244,3.49959996143977
100,126,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00073184346984159,0.0892095324344574,0.191279258810521,0.0879681113444124,0.189755555504358,0.0890675221738953,4.00841011157528,80.1474189653236,128,3.49959996143977
200,66,0.5,0.25,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00358051127432322,0.0885418000168723,0.466933855828538,0.0884490421431169,0.145315479986826,0.0882270262117307,5.64444067383121,80.8842252874212,64,3.49959996143977
30,454,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,6.17318148962624e-05,0.0913581916329794,0.438293095387615,0.0872896252645518,0.190174953073459,0.0891497686562353,2.1077922106359,80.0751666959252,456,3.49959996143977
50,296,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.138061896613999,0.0869757656448456,0.537150173490178,0.0902232182834762,0.106538159683236,0.0891543096244034,2.61015095198435,80.0711768056772,300,3.49959996143977
100,166,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0141786418187204,0.0908229399239096,0.988943192779896,0.0889883697128651,0.164941826151285,0.0887129468245068,3.52020623105943,80.4586118869668,166,3.49959996143977
200,90,0.5,0.5,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0327724264947078,0.0905313920819505,0.897878479507867,0.0874201403963908,0.181274857768638,0.0886531610271339,4.78725384959148,80.5110331138203,90,3.49959996143977
30,686,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.00360005360175272,0.0867803330644532,0.419060649749512,0.0913131674260932,0.153670465196733,0.0891381345129792,1.71516941228779,80.0853886143312,684,3.49959996143977
50,550,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.0325349162927781,0.0889851484770386,0.229274013121765,0.0825158260689529,0.169679951320027,0.0892247209879511,1.91180864379953,80.0093008724534,550,3.49959996143977
100,450,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,5.85132372785016e-05,0.0928451099697547,0.140459644810612,0.0878100948183453,0.190205288644302,0.0891253376489722,2.1183003085062,80.0966315468674,448,3.49959996143977
200,400,0.5,1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,0.228363488662836,0.0958704895384776,0.239123976808124,0.0929910000057155,0.204265773713509,0.0890569472686628,2.25024890373611,80.1567070461779,400,3.49959996143977
30,360,0.5,0.1,0.9,0.1,-0.1,0.25,0.5,0.173150954405076,0.05,2.19048109872503e-06,0.0882268517473694,0.805476574793452,0.0894021735830517,0.133160948578576,0.08921002305557,2.36383745140696,80.022218547895,360,3.49959996143977
